,Unnamed: 0,店铺名称,用户名,评论
60912,43,韩国小胖料理自助烤肉,匿名用户,很不错，肉烤出来很棒，但是要烤得嫩一点更好吃。泡菜超级推荐，酸黄瓜我也爱！素菜会上一盘，生菜可以包着吃。烤肉的蘸料也很不错！
60913,44,韩国小胖料理自助烤肉,Supery1k,味道很不错，肉品质很好，服务态度很棒。去的太晚了生菜都卖完了，服务态度真的超棒
60914,45,韩国小胖料理自助烤肉,共勉pu,老板人很热情 然后经常来吃哈哈哈 最爱肥牛卷和五花肉 一个人来吃也吃的贼爽 而且这家店小菜也贼好吃 可惜我们学校一直封校封校封校 不然肯定每个星期我都会过来吃 可惜马上就要放寒假了 得下个学期再来啦 希望老板生意越来越好～
60915,46,韩国小胖料理自助烤肉,wulfy,此次用餐总体来说不错，觉得比较认可的地方有：环境。
60916,47,韩国小胖料理自助烤肉,ZXZ327562987,肉肉很好吃，服务也不错，会帮你剪但是不会打扰你吃饭。泡菜也好吃不咸不淡。蘸料味道也很好。仅代表个人口味
60917,48,韩国小胖料理自助烤肉,匿名用户,服务态度好，菜品也还行，环境也挺不错
60918,49,韩国小胖料理自助烤肉,想要剃度不洗头,一个韩国叔叔开的烤肉店，肉很实在，也比较新鲜，就是种类不算多，但是泡菜和萝卜片之类的小菜都挺好吃的，位置就在西财旁边，平时人还是挺多的，四人以上去的话，可以提前给老板打电话预约，这样就不怕会排很久的队啦
60919,50,韩国小胖料理自助烤肉,我真不吃了！！,超级好吃！老板也很热情  朋友推荐的 下次还会再来的
60920,51,韩国小胖料理自助烤肉,胖胖哒8,服务很不错，全是肉，想吃肉的可以去。但是其他就差远了。
60921,52,韩国小胖料理自助烤肉,郁宁江轩,味道還可以，阿姨服務很好，有什麼問題都會幫忙解決。可以可以。味道比較的韓國，肉什麼的感覺還可以，如果只想吃肉的話。蔬菜挺少的，但年糕很好吃，軟軟的。就是蘸料感覺不安逸，我個人不太吃的慣。而且沒有醋啊，想要醋。
60922,53,韩国小胖料理自助烤肉,匿名用户,挺好的，服务很好，吃的很舒服，
60923,54,韩国小胖料理自助烤肉,EfM724502439,好吃！肉多！
60924,55,韩国小胖料理自助烤肉,RZt719280409,好吃！！！！
60925,56,韩国小胖料理自助烤肉,CiH572584702,这次就餐整体感觉很赞，比较满意的方面有：口味、环境、性价比、服务。下课后就奔过来了。想念小胖了一个月，终于又吃上了。好想老家也能有一家这样的店哇，真的超级好吃。
60926,57,韩国小胖料理自助烤肉,匿名用户,【薄荷】 很不起眼的一家店，如果不是朋友推荐，真心不晓得这里有家烤肉店。招牌上打着韩国人自营店，这点蛮吸引进店去试吃的。桌椅板凳整体很陈旧，不新颖，建议老板更换一下。 【味道】 自助餐这个价格的话味道真心一般，没什么特色，毕竟一分钱一分货。 但是单点了一些韩国特色的东西，比如：清酒🍶冰凉冰凉的，搭配烤肉很不错，不过这个是要另外收费的。单点的大酱汤味道还不错。 【服务】 店里都是几个服务员阿姨，服务谈不上质量，一般般吧 买单时是老板验的美团券，态度一般般吧，也没有笑容。如果老板再和蔼可亲一些就好了。 不过还是值得推荐去尝一尝。
60927,58,韩国小胖料理自助烤肉,ndW867601740,这次就餐整体感觉很赞，比较满意的方面有：口味。
60928,59,韩国小胖料理自助烤肉,四夕27,此次用餐总体来说不错，觉得比较认可的地方有：口味赞。性价比很高哦
60929,60,韩国小胖料理自助烤肉,JEC324737077,去了好几次，还在不断改善，非常不错
60930,61,韩国小胖料理自助烤肉,FOO791271274,我不觉得怎么样，只能团购美团。
60931,62,韩国小胖料理自助烤肉,LZf466517167,自助菜品只有几种，其他的还要加钱，
60932,63,韩国小胖料理自助烤肉,郭倩264,被同事安利的烤肉店，味道价格都很合适。
60933,64,韩国小胖料理自助烤肉,云和weee,肉很多份量很足，菜品种类比较少，值还是值，填肚子是个好去处，吃花样就算了，还是嘿实诚的店，自助你看价就好，我忘了我给了多少了
60934,65,韩国小胖料理自助烤肉,tlH299168371,这次就餐整体感觉很赞，比较满意的方面有：服务细致、口味赞、环境优雅、性价比高、团购接待。店里的阿姨都很可爱，服务也很周到，听阿姨说之前被恶意差评的事情感觉也好委屈，希望大家多来吃啊真的好香，小红书推荐的！强推！
60935,66,韩国小胖料理自助烤肉,czK719425109,第一次是和同学来这里吃的烤肉，感觉还不错，隔了不到一周，又来吃了，蔬菜这些都很新鲜，烤肉是冰柜里拿出来的，那个骰子牛肉还挺好吃的，酸黄瓜也还不错，最赞的是叔叔和阿姨的服务态度特别好，特别热情和耐心，绝对吃到饱，就是菜品类有点少。
60936,67,韩国小胖料理自助烤肉,玄想121,真的好吃啊！！以前还来这里干过，敢说干净过其他店铺。这次放假出来来这里吃烤肉啦啦啦啦！！老板人很好，以前打工时对我们兼职特别照顾。祝小胖哥
60937,68,韩国小胖料理自助烤肉,VianneLi,换了圆桌没有以前的桌子安逸了感觉「#套餐：单人烤肉自助」
60938,69,韩国小胖料理自助烤肉,ouh153190992,超级棒，
60939,70,韩国小胖料理自助烤肉,xmL432628701,吃了好多次了 菜品还是一如既往的少 但最近加了个块状牛肉 这个牛肉味道还可以 梅肉依然材 五花肉比较宽的好吃 太窄的吃起来口感差点 最近客人太少了 我都不好意思喊你给我打折了 嘿嘿
60940,71,韩国小胖料理自助烤肉,CSr950812566,味道挺不错的，特别喜欢他们家的小菜，半肉吃太爽了，而且很解腻，好久没吃了，下次回来一定要补上
60941,72,韩国小胖料理自助烤肉,Zdc753577108,那个阿姨真的是全程黑脸，而且在背后叫她 她也不会回头看一下，是隔的很近的那种，其实味道还是不错的，服务总感觉怪怪的，看来评论区那些评论还是有道理的，确实感觉不太好，也不可能阿姨每天都不开心吧，如果服务能更好就完美了，总体来说好评。
60942,73,韩国小胖料理自助烤肉,rfY483071350,此次用餐总体来说不错，觉得比较认可的地方有：口味、团购接待。
60943,74,韩国小胖料理自助烤肉,如梦8782,真的太好吃了，强烈推荐。老板很好，服务很热情！
60944,75,韩国小胖料理自助烤肉,匿名用户,好评
60945,76,韩国小胖料理自助烤肉,杨豆豆_624,"菜品比较少！
【环境】一般
【口味】还行

【服务】不错

【性价比】不高"
60946,77,韩国小胖料理自助烤肉,我傻！！你更傻,一般吧，就是没想到喝啤酒还要单独算钱
60947,78,韩国小胖料理自助烤肉,qkC921463764,吃的自助，虽然肉的种类少，但管够，老板也很热情
60948,79,韩国小胖料理自助烤肉,阿姝妹儿,菜品很新鲜，新加了几款肉。还是觉得有之前的那个汤搭配会好吃很多。价格也是特别惊喜的，两个人吃了很多肉，肥牛和骰子牛肉很喜欢吃。阿姨的服务特别好，一直帮我们烤肉，吃完了还很热情帮我们继续加肉。总之很好，推荐推荐推荐凉菜也是很好吃，但是忘了给我们上生菜，后来可能看到我们没有还是以为吃完了，还问我们加不加，我们说不要了。总之就是真的非常热情，非常好，是一次愉快的用餐 只拍了一张照片。
60949,80,韩国小胖料理自助烤肉,WVW627246294,"/:086 签收起七天内我们支持退差哦，确认收货后申请哦~【差价金额】=原订单实付价-现订单实付价。【申请方式】：申请售后—仅退款—退运费—差价金额 —上传现订单实付价截图【注意】：天猫津贴/双十一/双十二不支持退差价。希望可以给小度好评噢~ 么么哒"
60950,81,韩国小胖料理自助烤肉,匿名用户,肉量很足，不错不错，整挺好👍👍👍
60951,82,韩国小胖料理自助烤肉,IIg315188256,就挺好吃的呀，五花肉好吃，牛肉好吃，腌黄瓜好爽口，素菜都好吃~ 虽然菜品少，但是味道不错呀，后街这家吃起来最好吃~ 阿姨们的态度也都挺好哒~ 是会再来吃的一家~
60952,83,韩国小胖料理自助烤肉,zPM527001623,此次用餐总体来说不错，觉得比较认可的地方有：环境、口味、服务、性价比、团购接待。感觉很好吃，全是肉肉的味道，特别香哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈
60953,84,韩国小胖料理自助烤肉,坤坤的大霜宝,老回头客了相当不错的店，聚餐经常去
60954,85,韩国小胖料理自助烤肉,旻啊,真的好吃 肉也很多 吃到饱的那种！
60955,86,韩国小胖料理自助烤肉,Mvg924841209,从上大学吃到现在 从小胖老板亲自管店到服务不好的阿姨再到现在服务很棒的大家 从没女朋友到和女朋友经常一起吃 从有大酱汤到无大酱汤 还有小菜的更换 菜品的更换 还有听说马上会换的锅 小胖真的是我吃过最好吃的烤肉了 不管怎么变 小胖依旧是我的食堂 我爱小胖 （小胖如果能推出充值活动就好了）
60956,87,韩国小胖料理自助烤肉,鳗鱼爱吃鱼,真的挺好吃的 份量很足！！我们是两个人去吃的 就吃了一轮 建议人多去，老板超级好！！帮忙烤肉太赞了
60957,88,韩国小胖料理自助烤肉,匿名用户,服务态度超级差！！菜品很少很少，店也不大，肉类很少，而且菜不能让你自己去拿，服务态度有个嬢嬢喊她拿个菜理都不理，说了也不得给你拿，真的态度太差了，全程黑脸跟谁欠了她钱一样，关键是给她说拿个菜理都不理，就自己去做自己的事了，说是自助根本没得人管我们，菜吃完了喊她拿要说好几道，而且真的全程黑脸我们花钱吃个饭难道是来看别人脸色的？我只想说真的是改变下服务态度好吗，再也不想去了，饮料只有可乐是免费的，素菜也很少，总之体验很差
60958,89,韩国小胖料理自助烤肉,lOa185277042,最最最好吃，没有之一！里面的肉超大块，而且服务超级好，里面的叔叔阿姨会帮烤，还会帮剪成小块，想吃什么随时要，当然还是要考虑光盘哈！而且里面的小菜都是私人秘方，黄瓜，生菜都超级好吃，而且里面的烤茄子，烤土豆片，烤杏鲍菇，烤年糕真的真的超级赞了。还有肥牛，五花肉。真的真的好吃！
