,Unnamed: 0,店铺名称,用户名,评论
61517,64,韩婆婆小院烧烤,怡1o,来打卡过几次的烤肉店??，地方很大阿姨服务很好，特别热情菜品也很新鲜，特别是烧仙草特别好喝，生意也很好。?很喜欢吃这里的五花肉包着生菜，还有酱汁很好吃。?太喜欢了，哈哈哈哈哈，哈哈哈哈哈哈哈哈哈哈业。?
61518,65,韩婆婆小院烧烤,DwP426160548,不太好，态度也不行，工作人员特死板，一点都不灵活
61519,66,韩婆婆小院烧烤,FODA86,非常巴适 菜品丰富 大口吃肉的感觉不要太爽
61520,67,韩婆婆小院烧烤,CUi757780432,推荐，第一次消费，食材都不错的新鲜
61521,68,韩婆婆小院烧烤,sevenqinqin,此次用餐总体来说不错，觉得比较认可的地方有：口味、环境。 味道很不错，菜品也比较丰富，扇贝味道超级棒。 场地很大，周末去的人超级多生意火爆，排了一个多小时的队，下次要早点去啦。
61522,69,韩婆婆小院烧烤,CcD945336023,十分好吃太好吃了让人留连忘返哈哈哈
61523,70,韩婆婆小院烧烤,匿名用户,位置老是走错不上桥，就在桥下。垃圾桶感觉一桌两个更方便点，菜品比以前好像少了一个，东西还是不错的
61524,71,韩婆婆小院烧烤,DlS574182025,这家店的菜品齐全，服务员的态度服务很好，已经吃过很多次了！非常不错的，孩子也喜欢吃，特别是五花肉，非常非常的好吃?值得再多次去的一家店。就是每次去迟了都会排很久的队，不过还是值得等待的哟！以后还会去吃的
61525,72,韩婆婆小院烧烤,YL叶子的叶,菜品不错，很多，饮料也多，肉质也相对好些，位置可能有些偏，但味道真的不错哦
61526,73,韩婆婆小院烧烤,Wing芳子,回购无数次了   从开业吃到现在   老顾客了    味道非常好
61527,74,韩婆婆小院烧烤,nWa558769243,有机会还会去吃的，他们家的烤脑花真的很不错呢！
61528,75,韩婆婆小院烧烤,lII546595379,菜品非常新鲜，比一般的烤肉品质要好，推荐脑花和牛小粒还有烤馒头片，喜欢喝酒的来这是不错的选择，啤酒都是雪花勇闯的免费喝 特别夸一夸给我们服务一个齐耳短发的阿姨，服务态度特别好，贴心的主动递上围裙，不停的收走用完的盘子，临走时还一直感谢我们到韩婆婆小院消费，老板要给阿姨加鸡腿哦！
61529,76,韩婆婆小院烧烤,Wing芳子,自助形式   味道很好   嬢嬢些也非常热情
61530,77,韩婆婆小院烧烤,玙。。,【性价比】
61531,78,韩婆婆小院烧烤,oOC143825662,口味都可以，我比较喜欢那里的甜品，甜品不错，肉的话，五花肉可以的。
61532,79,韩婆婆小院烧烤,miss想念,味道很好
61533,80,韩婆婆小院烧烤,ucn822773752,很满意的一次就餐体验，整体评价的话我觉得：口味。
61534,81,韩婆婆小院烧烤,sYi943170194,味道不错，价格也实惠，每次去都要等
61535,82,韩婆婆小院烧烤,sYi943170194,儿子每次想吃烧烤的时候，他?们家是首选
61536,83,韩婆婆小院烧烤,Ovo869031824,这家我真的吃了好多次啊，菜品也很多，然后很新鲜！
