,Unnamed: 0,店铺名称,用户名,评论
15513,53,大美蓉城自助火锅烤肉（温江店）,ljd0123慧行天下,总体评价，不错！其他没什么问题。
15514,54,大美蓉城自助火锅烤肉（温江店）,Pmy794028089,水果和炸食少了，海鲜不新鲜。菜的种类变少了
15515,55,大美蓉城自助火锅烤肉（温江店）,匿名用户,感觉没去年的味道棒了哈哈😄，
15516,56,大美蓉城自助火锅烤肉（温江店）,好东西727,真的是我吃过所有火锅里面最难吃的，牛蛙肉和僵尸肉一样，服务还行就是菜少还一点不新鲜，肉都死的一样，黄喉也不像真的，差评！！「#套餐：双人自助」
15517,57,大美蓉城自助火锅烤肉（温江店）,wangao13,将就吧 还是挺好吃的。   还可以。  差不多
15518,58,大美蓉城自助火锅烤肉（温江店）,OuN231939856,里面菜的品种很多，周末去的话那种油炸小吃和凉菜要比上班日多，反正我最喜欢里面那个油炸的玉米条，最后要毕业了去，结果没吃到有点遗憾，之后有机会还回来吃那么家的火锅，总体味道很符合我的口味，我们朋友也觉得是比较划算的自助了。
15519,59,大美蓉城自助火锅烤肉（温江店）,亦客562,还可以，就是辣，菜品丰富值得光顾
15520,60,大美蓉城自助火锅烤肉（温江店）,GSh136119372,希望店家能把锅底费都直接算上，不要到店再收钱了，烦
15521,61,大美蓉城自助火锅烤肉（温江店）,亦客562,还可以，，菜品丰富，值得光顾。
15522,62,大美蓉城自助火锅烤肉（温江店）,Dylan巧,「#套餐：单人自助」「#肥牛」 【口味】正常水准 【环境】还可以，氛围挺好
15523,63,大美蓉城自助火锅烤肉（温江店）,匿名用户,菜比以前少了很多很多  连一点猪肉都没有看到
15524,64,大美蓉城自助火锅烤肉（温江店）,o何小昕O,吃了就知道什么是差劲了 五个人去，都拉肚子了 菜品也不新鲜 好几样菜都变味了 服务态度也是差劲
15525,65,大美蓉城自助火锅烤肉（温江店）,RTQ100269351,巴适
15526,66,大美蓉城自助火锅烤肉（温江店）,匿名用户,好吃
15527,67,大美蓉城自助火锅烤肉（温江店）,大婉妹呀！,总的来说还不错，不过可能因为不是周末的缘故，小吃这些不是很多！ 鸳鸯锅里白锅味道太寡淡了！！
15528,68,大美蓉城自助火锅烤肉（温江店）,匿名用户,之前去吃了，回来拉肚子，我怀疑锅底不怎么好
15529,69,大美蓉城自助火锅烤肉（温江店）,QVW557105341,还是很不错的，就是当时去得有点早。
15530,70,大美蓉城自助火锅烤肉（温江店）,匿名用户,非常好吃味道不错了
15531,71,大美蓉城自助火锅烤肉（温江店）,rRE225715791,「#套餐：单人自助」服务好，菜品还挺多的，下次还会去
15532,72,大美蓉城自助火锅烤肉（温江店）,HvA878525209,挺不错的，下次再来！
15533,73,大美蓉城自助火锅烤肉（温江店）,tKt296121620,服务态度很好.！菜很新鲜！
15534,74,大美蓉城自助火锅烤肉（温江店）,请叫我三姐！956,店铺里味道不行，菜品也不咋样，服务态度也不好
15535,75,大美蓉城自助火锅烤肉（温江店）,EPJ354788647,热，空调都没有。菜品也比较少，不满意
15536,76,大美蓉城自助火锅烤肉（温江店）,匿名用户,说实话种类一般，菜品一般，新鲜度一般，冻货明显看的都很不新鲜了。然后体验感也很很很一般。
15537,77,大美蓉城自助火锅烤肉（温江店）,蹦哒蹦哒391,菜品太少，不晓得是因为我们去晚了还是咋的，调料碗连香菜都没有。。。水果也是只有李子和西瓜了，水也没得几个，就算我们去晚了但是至少还有那么多桌，菜该上还是应该上吧，反正也没几个荤菜，总之，性价比很低。
15538,78,大美蓉城自助火锅烤肉（温江店）,匿名用户,前台态度极差，问肥牛也不给，火锅偏咸反正体验极差不会再想去了 🙁
15539,79,大美蓉城自助火锅烤肉（温江店）,哥是传说不要迷恋,去过很多次了，各方面都比较满意，会一直去
15540,80,大美蓉城自助火锅烤肉（温江店）,GqL948049137,还可以 菜品还比较多环境也可以 菜味道可以
15541,81,大美蓉城自助火锅烤肉（温江店）,匿名用户,「#套餐：单人自助」确实不咋的……超差……肉都没几样，有的肉味道感觉怪怪的，都本吃不下去。说是有什么海鲜什么的，确实也是有，但是味道腥臭难闻……吃过就知道，
15542,82,大美蓉城自助火锅烤肉（温江店）,SXH179651427,还可以好吃
15543,83,大美蓉城自助火锅烤肉（温江店）,温柔里流浪的神,多年前吃的了 不晓得店还在开没，今天统一来评价 我只记得吃来太撑，最后实在吃不下了
15544,84,大美蓉城自助火锅烤肉（温江店）,小仙女等着吃饭啊,突然看到大学附近的火锅店，倍感亲切啊！这个地方可以说是聚餐经常到的地方，给老板打个电话预订就会留位置，但是人多还是不能便宜，味道一般吧，价格还是很便宜的
15545,85,大美蓉城自助火锅烤肉（温江店）,丹丹小仙女0,来过很多次了 价格对于我们学生来说非常实惠了
15546,86,大美蓉城自助火锅烤肉（温江店）,ylm720,第一次去吃，吃了好多，第二次就没有感觉了吃起不想吃
15547,87,大美蓉城自助火锅烤肉（温江店）,罗某某？,第三次来了，味道还不错，就是菜品多一点就好了
15548,88,大美蓉城自助火锅烤肉（温江店）,China霖,菜品还是少  味道不错  饭点儿 人很少   不过我喜欢的环境  有机会还会去的
15549,89,大美蓉城自助火锅烤肉（温江店）,VTQ663808235,环境可以，东西也可以，味道也行，总体都还可以
15550,90,大美蓉城自助火锅烤肉（温江店）,老鬼特洛伊,忘记评价了，今年生意比去年下降了好多，不过菜品还是没有缩水，品质挺不错的，如果增加个郡花就好了
15551,91,大美蓉城自助火锅烤肉（温江店）,jXV231973255,很不错 习惯
15552,92,大美蓉城自助火锅烤肉（温江店）,随遇而安巛,味道很好，而且老板也很热情！
15553,93,大美蓉城自助火锅烤肉（温江店）,fra282992192,贼贵，还没什么好吃的，去就是买教训
15554,94,大美蓉城自助火锅烤肉（温江店）,温柔里流浪的神,刚才评论了 怎么又是这家 我是买了多少张么
15555,95,大美蓉城自助火锅烤肉（温江店）,FzN530560177,离家很近，和老公去吃的，味道可以
15556,96,大美蓉城自助火锅烤肉（温江店）,tOQ950295422,火锅店开了不久时间了，味道很好，服务员热情大方，值得大家光临
15557,97,大美蓉城自助火锅烤肉（温江店）,可爱的仓洁,赞赞赞赞赞赞，经常吃，味道很好
15558,98,大美蓉城自助火锅烤肉（温江店）,匿名用户,除了菜品少其他还好🙂不过菜品真的好少好少🙂熟食甜品和水果基本没有🙂喜欢自己煮生肉的可以来🙂这个价钱真的不值🙂这个价钱对应的这里面的菜品我也是醉了🙂
15559,99,大美蓉城自助火锅烤肉（温江店）,匿名用户,挺好吃的，菜品很新鲜，和室友一起去吃的
15560,100,大美蓉城自助火锅烤肉（温江店）,wEM954399246,还好吧，价格比较优惠，菜品不是很多。但是可以吃很久，很久很久饮料也不是很多。但是总之总得来说还是一般性价比比较高。
15561,101,大美蓉城自助火锅烤肉（温江店）,可爱的仓洁,赞赞赞赞赞赞，经常吃
15562,102,大美蓉城自助火锅烤肉（温江店）,PDu107403959,菜品多，海鲜多，肉多，地方宽敞
15563,103,大美蓉城自助火锅烤肉（温江店）,刘大的故事,味道不好性价比低 太乱了 不值得去
15564,104,大美蓉城自助火锅烤肉（温江店）,匿名用户,菜品很多，口味不错，服务也很好
15565,105,大美蓉城自助火锅烤肉（温江店）,Dxf635580898,我男朋友特别喜欢他们家火锅，也吃了很多次了，确实不错，就是菜品有点少，如果菜再多一点就更完美了
15566,106,大美蓉城自助火锅烤肉（温江店）,匿名用户,挺好的
15567,107,大美蓉城自助火锅烤肉（温江店）,爱吃的梅果儿,【口味】好 【环境】好 【性价比】好 【服务】好
15568,108,大美蓉城自助火锅烤肉（温江店）,bpg404040332,还可以一般  偏贵  东西也还好  种类不算多
15569,109,大美蓉城自助火锅烤肉（温江店）,AQu677064642,站在自助也不太贵的角度还行吧，菜品不是很多，味道一般般，价格也毕竟在那，偶尔去还行
15570,110,大美蓉城自助火锅烤肉（温江店）,匿名用户,菜品很多，味道也不错，价格也比较合理，只是卫生有待提高
15571,111,大美蓉城自助火锅烤肉（温江店）,Aum870757989,味道相当不错，物美价廉，过几天还要来吃。
15572,112,大美蓉城自助火锅烤肉（温江店）,哇咔咔。哦买噶,食材是真的不新鲜。特别是荤菜。
15573,113,大美蓉城自助火锅烤肉（温江店）,Aum870757989,可以，物美价廉，下次再来。
