店铺名称,用户名,评论
泥巴小院市井火锅（温江店）,nak379151226,「#套餐：2-3 人套餐」我带着兄弟一起来的，看这家生意好就来了 菜品很新鲜 很好吃「#手工虾滑」「#奔驰锅」「#鲜血旺」「#鲜鸭肠」「#草原毛肚」「#肥牛卷」「#鲜郡花」「#小院手工黑豆腐」「#小院农家酥肉」「#小院农家滑肉」「#小院麻辣牛肉」「#鲜猪黄喉」「#小院麻辣牛肉」
泥巴小院市井火锅（温江店）,小猪宝宝1010,味道很好吃 服务很好👌👍👍👍下次又来「#套餐：2-3 人套餐」「#手工虾滑」「#鲜血旺」「#小院农家酥肉」「#小院手工黑豆腐」「#小院麻辣牛肉」「#小院农家滑肉」「#千层肚」「#小院脆毛肚」「#卤猪大肠」「#山药」「#羊肉卷」「#金针菇」「#香菜丸子」「#鹌鹑蛋」「#耗儿鱼」
泥巴小院市井火锅（温江店）,_qqc5d1372827220,「#套餐：6-7 人套餐」我们团了一个套餐 味道很好吃  小姐姐服务很好  特别贴心  下次还要来「#奔驰锅」「#鲜血旺」「#肥牛卷」「#草原毛肚」「#手工虾滑」「#鲜鸭肠」「#小院手工黑豆腐」「#小院农家酥肉」「#鲜猪黄喉」「#小院麻辣牛肉」「#鲜猪黄喉」「#小院红糖糍粑」「#鲜猪黄喉」
泥巴小院市井火锅（温江店）,你很飘逸,「#套餐：2-3 人套餐」我们一起来吃的 就团了一个套餐 「#奔驰锅」「#鲜血旺」「#鲜鸭肠」「#草原毛肚」「#小院手工黑豆腐」「#小院麻辣牛肉」「#鲜猪黄喉」「#小院麻辣牛肉」「#莲藕片」「#小院红糖糍粑」「#小院挂面鸭肠」「#山药」「#金针菇」「#小院脆毛肚」「#小院农家滑肉」「」
泥巴小院市井火锅（温江店）,kelen婷,「#套餐：2-3 人套餐」我们两个人来吃的就团了一个套餐味道还不错「#手工虾滑」「#草原毛肚」「#小院脆毛肚」「#小红锅」「#羊肉卷」「#香菜丸子」「#午餐肉」「#鸳鸯锅」「#海霸王虾饺皇」「#贡菜」「#鸡爪」「#美好火腿肠」「#小院嫩牛肉」「#爽嫩小心肝」「#高山娃娃菜」
泥巴小院市井火锅（温江店）,_qqf3k1423364392,今天和家人聚会，五一长假嘛。在美团上看到了这家火锅店还不错，今天就带家人来体验了一番，还别说，这味道确实挺棒，挺好。点了一个鸳鸯锅，菌汤锅底，很好，汤浓，好喝。菜品也新鲜，是小份菜，简单实惠，也实用。环境的话，装修风格挺好，在这条街上比较独特，有性格，让人不禁意之间很舒适。总体来说，体验感十足，值得推荐，打卡。👍👍👍👍👍
泥巴小院市井火锅（温江店）,旧事、旧时光,今天和朋友路过这里、看到了这家火锅还不错，评价也挺高的，就和朋友来体验了一次，还别说这味道还挺好，红锅味道巴适， 【服务】是一个小哥哥为我们服务的，挺灵性，反应也快。 【环境】简单，地面各种卫生也干净，进门就给人一种很舒适的感觉。 【性价比】点的套餐，都是小分菜，不会浪费。总体来说，朋友们，值得打卡奥！n
泥巴小院市井火锅（温江店）,WbJ329548957,「#套餐：2-3 人套餐」看她们家评价不错就来了 点了个套餐 「#肥牛卷」「#手工虾滑」「#奔驰锅」「#鲜血旺」「#鲜鸭肠」「#草原毛肚」「#鲜郡花」「#肥牛卷」「#小院农家酥肉」「#小院麻辣牛肉」「#小院手工黑豆腐」「#小院农家滑肉」「#海带苗」「#苕粉」「#小院挂面鸭肠」「#竹笋片王」「#金针菇」
泥巴小院市井火锅（温江店）,匿名用户,位置好找，西熙里美食一条街里面，中午去的吃饭的人不多 服务一般，菜品跟价格成正比，就是那个带皮牛肉全是筋然后泡泡肉那种没法吃，这个菜给差评，其他菜品都还可以。 特色就是可以一次吃3种口味的锅底，这点很赞，番茄锅底很新鲜，煮素菜很不错。 还有就是那个面包，看其他人说是吸油的，感觉有点好像不需要吸油，所以就直接吃了🙈
泥巴小院市井火锅（温江店）,CQA500984638,「#套餐：2-3 人套餐」「#手工虾滑」「#草原毛肚」「#小院手工黑豆腐」「#千层肚」「#小院挂面鸭肠」 【口味】比较喜欢这家的锅底味道，很柔和，香味很浓郁 菜品很新鲜，品种非常多，荤素搭配，营养均衡，很健康！ 装修风格比较有特色，给人感觉有些小清新的田园风格。 服务员都挺有素质，礼貌待人热情大方时不时主动加汤下菜，很不错！ 店里面有些小景致妆点的很有意思，看起来挺惬意！ 有一个特色是吸油面包，比较有创意！ 总之，性价比是比较高了，会常来他们这吃火锅！
