,Unnamed: 0,店铺名称,用户名,评论
40,40,芭夯兔（温江店）,tff624226196,好吃，经常去，老板人很好！服务周到！同学一见面就跟我诉苦，说他前段时间总盗汗，一睡着就出汗，医院检查花了好几百，后来又找了个老中医开了十来副中药，喝了也不管用，而且一天比一天厉害。我问：“后来呢?咋治好的?”一问到这，我明显看到同学的嘴角一抽搐，愤愤道：“我换了个薄被子。”
41,41,芭夯兔（温江店）,XJs662177953,不错，很久去吃一回，还是感觉很不错的～兔子的其中之一吃法～汤也很好喝～仙鲜味儿10足！！嘻嘻?图票……完全忘记照了……zhendebucuo～
42,42,芭夯兔（温江店）,slovex14,味道不错，价格实惠，一直都在支持
43,43,芭夯兔（温江店）,slovex14,服务越来越好了，喜欢，好多年了，一直在这家吃兔兔，味道巴适
44,44,芭夯兔（温江店）,OOC516631689,好吃的，分量也很足，三个吃也很饱，当天过生日还送了一碗煎蛋面，开心
45,45,芭夯兔（温江店）,匿名用户,环境不错，南浦郡附近，「#套餐：温馨尝鲜双人餐」「#菌汤兔肉锅」 【口味】还不错
46,46,芭夯兔（温江店）,omU511381875,特别喜欢，去好多次了，不油，辣的不辣的都有
47,47,芭夯兔（温江店）,ljsh珊珊h,在美团上看到的，因为自己本身比较喜欢吃兔兔肉，而且清汤感觉没有那么油腻，就抱着尝试一下的态度去了，结果真的很意外，特别适合大家享用，真的很不错，可以去尝试一下！2-3人餐，分量很足，两个人吃不完，三个人应该都可以，以后还会带朋友去光顾。
48,48,芭夯兔（温江店）,移草,有点失望，对兔肉本来还很期待的，但是这个汤锅兔味道一般，还是辣口好吃，唯一值得夸的是不腥，希望继续改进！
49,49,芭夯兔（温江店）,say～bey,还可以耶，服务菜品都挺不错的，推荐
50,50,芭夯兔（温江店）,uOM628658154,基本都是兔子的菜品，肉质鲜嫩，就是菜品再多一点会更好！ 比较适合清淡口味的人！
51,51,芭夯兔（温江店）,FaG169588901,小盆友吃的 样子可爱
52,52,芭夯兔（温江店）,源代码k,味道不错，性价比也高，特惠时抢的劵
53,53,芭夯兔（温江店）,tmq514815732,味道不错，服务也好，分量也足！推荐，菜品新鲜
54,54,芭夯兔（温江店）,rxS769808560,味道很棒
55,55,芭夯兔（温江店）,空的小乖,非常nice，不错，服务很不错，下一次还来。
56,56,芭夯兔（温江店）,familylbing,味道还是不错的 作为央视报道的店 个人感觉环境可以做一些改善
57,57,芭夯兔（温江店）,木子渊Z,来过很多次了，好吃?还有可爱的小兔子?
58,58,芭夯兔（温江店）,hgH552527825,还是划算的，味道不错的
59,59,芭夯兔（温江店）,fzZ620404016,今天在温江好吃街上发现这家芭夯兔汤锅，适合老人孩子一起家庭聚会，兔肉新鲜滑嫩。就是生意兴隆，要吃需要早点或者提前预订，门口左边有很多停车位，方便停车。阿姨服务态度好，上菜很快，套餐物有所值，大厅宽敞，值得推荐。
60,60,芭夯兔（温江店）,MJz462762779,还行吧我觉得糍粑好吃其他的都还行主要碟子不行
61,61,芭夯兔（温江店）,痛仰刺猬,量足，我们菜都没吃完，确实份量很足，味道也好吃，团购性价比极高，香菜丸子很好吃的，小孩子也比较适合，服务员态度也很好，非常满意。鲜榨花生汁也好喝，生意比较好，稍稍等了下位子，下次聚餐还可以来芭夯兔，连锁品牌，值得信赖，吃完才想起来好评(o^^o)
62,62,芭夯兔（温江店）,修改昵123,团的劵价格挺划算的但是这个比较适合冬天吃。本来就很烫吃着真的有点热这几天。
63,63,芭夯兔（温江店）,坠若风尘,东西还不错 我正在减肥 想吃清淡一点 这家比较适合 兔子肉也很嫩 而且点一个锅就够两个人吃的正好 【口味】比较清淡 【环境】有点嘈杂 【服务】服务小哥不太了解菜品 都不知道里面有什么 感觉像假期工 【性价比】还比较高 有机会还回来的
64,64,芭夯兔（温江店）,香雪兰一,外出玩了回家，因为有老人吃专程绕道去温江总店去吃，一如既往地好吃。几年前也去总店吃过，不过现在门口没有自助免费零食了，这样也好，零食吃饱了吃正餐就吃不动了。这家生意真的太好，由门前一中年男子登记排座，记录排队人手机号，这一点儿不是好满意，有些信息外泄的感觉，再说最后其实也没打电话而是我们随时查问排队情况。强调下，兔子本身很好吃，自己在家也常点他家外卖的。
65,65,芭夯兔（温江店）,图哥128,首先，位置好找，位于温江好吃一条街上，第二停车方便，附近路边，餐厅边上都有停车场，第三，环境很清爽，干净，第四，无论是前台小妹妹，还是服务员大姐的服务态度都相当的好，第五，不因为是团购而差别对待！第六，白味汤锅，特别适合小孩和老人吃！下次再去吃！
66,66,芭夯兔（温江店）,mxU654253678,很满意的一次就餐体验，整体评价的话我觉得：口味、服务。
67,67,芭夯兔（温江店）,源代码k,豆花的味道很嫩滑，入口即化，价格也差不多
68,68,芭夯兔（温江店）,omU511381875,喜欢这家的味道，菜品一如继往。
69,69,芭夯兔（温江店）,匿名用户,感觉很不错
70,70,芭夯兔（温江店）,源代码k,布丁的味道比较淡，但单点的1元也差不多了。
71,71,芭夯兔（温江店）,VianneLi,「#套餐：7-8 人合家欢套餐」「#红糖糍粑」「#兔子肉」「#百花锅」
72,72,芭夯兔（温江店）,Cherryblossommmm,突然很好吃 很棒啦 卫生环境也很好 想吃很久了终于有机会吃到了
73,73,芭夯兔（温江店）,dTf443582557,环境好，味道不错，份量很足，还会来
74,74,芭夯兔（温江店）,XhV260739519,温江路的芭夯兔，味道还可以，布丁兔子很可爱
75,75,芭夯兔（温江店）,OOC516631689,可爱小兔兔，Q弹的是椰香口味的
76,76,芭夯兔（温江店）,文刈青年,两个人吃的一个双人套餐，都没有吃完，味道挺好的，服务也挺周到……
77,77,芭夯兔（温江店）,Jny797095876,价格太合适了「#套餐：网红小布丁」物美价廉
